objectid,title,format,filename,date,subject,location,latitude,longitude,description
"item1										",Letter 1 from Andrew May to Erecta Morey,image/jpeg,Letter1MayMorey.jpg,1850-11-10,Letter;Poem,,,,
"item2										",Letter 2 from Andrew May to Erecta Morey,image/jpeg,Letter2MayMorey.jpg,1850-11-10,Letter;Poem,,,,
item3,Letter from,image/jpeg,Letter3.jpg,,Letter,,,,
item4,Letter from,application/pdf,Letter4.pdf,,Letter,,,,
item5,Poem by,image/jpeg,Poem5.jpeg,,Poem,,,,
item6,Wedding Invitations from,application/pdf,WeddingInvites6.pdf,,Invitation;Wedding,,,,
item7,Letter from,application/pdf,Letter7.pdf,,Letter,,,,
item8,Romantic Advice Colum by,application/pdf,AdviceColumn8.pdf,,Advice;Wedding,,,,
item9,,,,,,,,,
item10,,,,,,,,,
